time,number
0,53109
1,31242
2,16450
3,12158
4,11515
5,17877
6,52308
7,174783
8,353818
9,499151
10,539395
11,567492
12,497186
13,484745
14,511517
15,536308
16,608321
17,585142
18,482041
19,394796
20,28052
