time,number
0,48460
1,27251
2,16839
3,12576
4,12160
5,18873
6,50569
7,175407
8,350753
9,490758
10,565976
11,583140
12,525032
13,512940
14,550661
15,587242
16,656769
17,623644
18,514146
19,412935
20,57364
