time,number
0,55734
1,30276
2,19177
3,14054
4,12398
5,16312
6,45988
7,156801
8,306514
9,418132
10,517822
11,551250
12,509218
13,477868
14,467594
15,470537
16,537791
17,526526
18,457780
19,228023
